מה ןנטולא;מכטקוסעגמ;אעא המךףלוםעא;סעאגמקםי ןףע;מהתוחהםמי ןףע
019/לנ11;1;21.05.2019;21.05.2019;18.05.2019
019/לנ12;2;15.05.2019;22.05.2019;22.05.2019
019/לנ13;3;15.05.2019;22.05.2019;22.05.2019
019/לנ14;4;21.05.2019;21.05.2019;18.05.2019
019/לנ15;5;07.05.2019;21.05.2019;21.05.2019
019/לנ16;6;21.05.2019;22.05.2019;21.05.2019
019/לנ17;7;14.05.2019;22.05.2019;21.05.2019
019/לנ18;8;30.04.2019;18.05.2019;17.05.2019
019/לנ19;9;30.04.2019;18.05.2019;18.05.2019
019/לנ20;10;30.04.2019;22.05.2019;22.05.2019
019/לנ21;11;30.04.2019;18.05.2019;18.05.2019
019/לנ22;12;14.05.2019;22.05.2019;21.05.2019
019/לנ23;13;16.04.2019;19.05.2019;19.05.2019
019/לנ24;14;13.05.2019;22.05.2019;21.05.2019
019/לנ25;15;14.05.2019;22.05.2019;21.05.2019
019/לנ26;16;30.04.2019;13.05.2019;10.05.2019
019/לנ27;17;13.05.2019;22.05.2019;21.05.2019
019/לנ28;18;21.05.2019;21.05.2019;18.05.2019
019/לנ29;19;15.05.2019;20.05.2019;20.05.2019
019/לנ30;20;15.05.2019;22.05.2019;22.05.2019
019/לנ31;21;14.05.2019;22.05.2019;21.05.2019
019/לנ32;22;30.04.2019;18.05.2019;18.05.2019
019/לנ33;23;20.04.2019;22.05.2019;21.05.2019
019/לנ34;24;25.04.2019;18.05.2019;18.05.2019
019/לנ35;25;19.05.2019;22.05.2019;22.05.2019
019/לנ36;26;21.05.2019;22.05.2019;22.05.2019
019/לנ37;27;08.05.2019;21.05.2019;21.05.2019
019/לנ38;28;20.05.2019;20.05.2019;20.05.2019
019/לנ39;29;21.05.2019;22.05.2019;22.05.2019
019/לנ40;30;21.05.2019;21.05.2019;21.05.2019
019/לנ41;31;21.05.2019;22.05.2019;22.05.2019
019/לנ42;32;27.04.2019;16.05.2019;16.05.2019
019/לנ43;33;21.05.2019;22.05.2019;22.05.2019
019/לנ44;34;20.05.2019;20.05.2019;20.05.2019
019/לנ45;35;22.05.2019;22.05.2019;19.05.2019
019/לנ46;36;21.05.2019;22.05.2019;22.05.2019
019/לנ47;37;21.05.2019;22.05.2019;22.05.2019
019/לנ48;38;06.05.2019;13.05.2019;13.05.2019
019/לנ49;39;21.05.2019;22.05.2019;22.05.2019
019/לנ50;40;04.05.2019;11.05.2019;11.05.2019
019/לנ51;41;20.05.2019;22.05.2019;21.05.2019
019/לנ52;42;21.05.2019;22.05.2019;22.05.2019
019/לנ53;43;21.05.2019;22.05.2019;22.05.2019
019/לנ54;44;21.05.2019;22.05.2019;22.05.2019
019/לנ55;45;07.05.2019;15.05.2019;15.05.2019
019/לנ56;46;22.05.2019;22.05.2019;22.05.2019
019/לנ57;47;11.05.2019;22.05.2019;22.05.2019
019/לנ58;48;03.05.2019;13.05.2019;06.05.2019
019/לנ59;49;09.05.2019;22.05.2019;21.05.2019
019/לנ60;50;21.05.2019;22.05.2019;22.05.2019
019/לנ61;51;14.02.2019;05.04.2019;05.04.2019
019/לנ62;52;01.05.2019;04.05.2019;04.05.2019
019/לנ63;53;22.05.2019;22.05.2019;22.05.2019
019/לנ64;54;21.05.2019;21.05.2019;21.05.2019
019/לנ65;55;17.05.2019;17.05.2019;17.05.2019
019/לנ66;56;06.05.2019;16.05.2019;16.05.2019
019/לנ67;57;10.05.2019;22.05.2019;22.05.2019
019/לנ68;58;21.05.2019;21.05.2019;21.05.2019
019/לנ69;59;21.05.2019;21.05.2019;21.05.2019
019/לנ70;60;18.05.2019;19.05.2019;12.05.2019
019/לנ71;61;21.05.2019;21.05.2019;21.05.2019
019/לנ72;62;21.05.2019;22.05.2019;22.05.2019
019/לנ73;63;11.05.2019;15.05.2019;15.05.2019
019/לנ74;64;21.05.2019;21.05.2019;21.05.2019
019/לנ75;65;03.05.2019;19.05.2019;19.05.2019
019/לנ76;66;03.05.2019;19.05.2019;09.05.2019
019/לנ77;67;19.05.2019;19.05.2019;19.05.2019
019/לנ78;68;05.05.2019;07.05.2019;07.05.2019
019/לנ79;69;08.05.2019;21.05.2019;21.05.2019
019/לנ80;70;19.05.2019;19.05.2019;19.05.2019
019/לנ81;71;20.05.2019;22.05.2019;22.05.2019
019/לנ82;72;21.05.2019;22.05.2019;22.05.2019
019/לנ83;73;20.05.2019;20.05.2019;20.05.2019
019/לנ84;74;21.05.2019;22.05.2019;22.05.2019
019/לנ85;75;07.05.2019;12.05.2019;12.05.2019
019/לנ86;76;19.05.2019;19.05.2019;19.05.2019
019/לנ87;77;17.05.2019;22.05.2019;22.05.2019
019/לנ88;78;21.05.2019;21.05.2019;21.05.2019
019/לנ89;79;21.05.2019;22.05.2019;22.05.2019
019/לנ90;80;19.05.2019;19.05.2019;19.05.2019
019/לנ91;81;12.05.2019;12.05.2019;12.05.2019
019/לנ92;82;12.05.2019;19.05.2019;19.05.2019
019/לנ93;83;11.05.2019;22.05.2019;22.05.2019
019/לנ94;84;21.05.2019;21.05.2019;21.05.2019
019/לנ95;85;08.05.2019;10.05.2019;10.05.2019
019/לנ96;86;15.05.2019;22.05.2019;22.05.2019
019/לנ97;87;21.05.2019;22.05.2019;21.05.2019
019/לנ98;88;15.05.2019;20.05.2019;19.05.2019
019/לנ99;89;20.05.2019;22.05.2019;21.05.2019
019/לנ100;90;08.05.2019;22.05.2019;21.05.2019
019/לנ101;91;21.05.2019;22.05.2019;22.05.2019
019/לנ102;92;21.05.2019;22.05.2019;22.05.2019
019/לנ103;93;13.03.2019;29.03.2019;19.03.2019
019/לנ104;94;21.05.2019;21.05.2019;21.05.2019
019/לנ105;95;21.05.2019;22.05.2019;21.05.2019
019/לנ106;96;21.05.2019;21.05.2019;21.05.2019
019/לנ107;97;01.04.2019;03.04.2019;03.04.2019
019/לנ108;98;21.05.2019;21.05.2019;21.05.2019
019/לנ109;99;21.05.2019;21.05.2019;21.05.2019
019/לנ110;100;21.05.2019;22.05.2019;21.05.2019
019/לנ111;101;19.05.2019;19.05.2019;19.05.2019
019/לנ112;102;21.05.2019;22.05.2019;22.05.2019
019/לנ113;103;21.05.2019;22.05.2019;21.05.2019
019/לנ114;104;22.05.2019;22.05.2019;22.05.2019
019/לנ115;105;21.05.2019;22.05.2019;22.05.2019
019/לנ116;106;08.05.2019;22.05.2019;21.05.2019
019/לנ117;107;21.05.2019;22.05.2019;22.05.2019
019/לנ118;108;21.05.2019;22.05.2019;22.05.2019
019/לנ119;109;29.04.2019;01.05.2019;01.05.2019
019/לנ120;110;21.05.2019;22.05.2019;22.05.2019
019/לנ121;111;20.05.2019;20.05.2019;20.05.2019
019/לנ122;112;09.05.2019;21.05.2019;21.05.2019
019/לנ123;113;19.05.2019;19.05.2019;19.05.2019
019/לנ124;114;20.05.2019;22.05.2019;22.05.2019
019/לנ125;115;21.05.2019;22.05.2019;21.05.2019
019/לנ126;116;21.05.2019;21.05.2019;21.05.2019
019/לנ127;117;21.05.2019;22.05.2019;22.05.2019
019/לנ128;118;19.05.2019;22.05.2019;22.05.2019
019/לנ129;119;17.05.2019;19.05.2019;19.05.2019
019/לנ130;120;21.05.2019;22.05.2019;22.05.2019
019/לנ131;121;18.05.2019;18.05.2019;18.05.2019
019/לנ132;122;22.04.2019;27.04.2019;27.04.2019
019/לנ133;123;15.05.2019;22.05.2019;22.05.2019
019/לנ134;124;15.05.2019;22.05.2019;22.05.2019
019/לנ135;125;14.05.2019;22.05.2019;21.05.2019
019/לנ136;126;13.05.2019;22.05.2019;21.05.2019
019/לנ137;127;14.05.2019;22.05.2019;21.05.2019
019/לנ138;128;15.05.2019;22.05.2019;22.05.2019
019/לנ139;129;14.05.2019;22.05.2019;21.05.2019
019/לנ140;130;16.05.2019;22.05.2019;22.05.2019
019/לנ141;131;21.05.2019;22.05.2019;22.05.2019
019/לנ142;132;14.05.2019;22.05.2019;21.05.2019
019/לנ143;133;20.05.2019;22.05.2019;22.05.2019
019/לנ144;134;01.05.2019;21.05.2019;04.05.2019
019/לנ145;135;21.05.2019;22.05.2019;22.05.2019
019/לנ146;136;01.05.2019;07.05.2019;07.05.2019
019/לנ147;137;20.05.2019;20.05.2019;20.05.2019
019/לנ148;138;21.05.2019;21.05.2019;21.05.2019
019/לנ149;139;21.05.2019;22.05.2019;12.05.2019
019/לנ150;140;21.05.2019;22.05.2019;22.05.2019
019/לנ151;141;13.05.2019;22.05.2019;22.05.2019
019/לנ152;142;21.05.2019;22.05.2019;22.05.2019
019/לנ153;143;18.04.2019;18.04.2019;18.04.2019
019/לנ154;144;21.05.2019;22.05.2019;22.05.2019
019/לנ155;145;19.05.2019;19.05.2019;19.05.2019
019/לנ156;146;20.05.2019;20.05.2019;20.05.2019
019/לנ157;147;19.05.2019;22.05.2019;22.05.2019
019/לנ158;148;13.05.2019;22.05.2019;22.05.2019
019/לנ159;149;15.05.2019;15.05.2019;15.05.2019
019/לנ160;150;19.05.2019;22.05.2019;22.05.2019
019/לנ161;151;17.05.2019;17.05.2019;17.05.2019
019/לנ162;152;23.04.2019;30.04.2019;30.04.2019
019/לנ163;153;01.05.2019;03.05.2019;02.05.2019
019/לנ164;154;21.05.2019;22.05.2019;21.05.2019
019/לנ165;155;21.05.2019;22.05.2019;22.05.2019
019/לנ166;156;21.05.2019;21.05.2019;21.05.2019
019/לנ167;157;17.05.2019;17.05.2019;17.05.2019
019/לנ168;158;24.04.2019;21.05.2019;25.04.2019
019/לנ169;159;21.05.2019;21.05.2019;21.05.2019
019/לנ170;160;19.05.2019;22.05.2019;22.05.2019
019/לנ171;161;22.04.2019;25.04.2019;25.04.2019
019/לנ172;162;18.05.2019;21.05.2019;21.05.2019
019/לנ173;163;25.04.2019;21.05.2019;21.05.2019
019/לנ174;164;21.05.2019;21.05.2019;21.05.2019
019/לנ175;165;24.04.2019;26.04.2019;26.04.2019
019/לנ176;166;20.05.2019;20.05.2019;20.05.2019
019/לנ177;167;20.05.2019;20.05.2019;20.05.2019
019/לנ178;168;21.05.2019;22.05.2019;22.05.2019
019/לנ179;169;05.05.2019;22.05.2019;21.05.2019
019/לנ180;170;21.05.2019;22.05.2019;22.05.2019
019/לנ181;171;02.05.2019;06.05.2019;06.05.2019
019/לנ182;172;21.05.2019;21.05.2019;21.05.2019
019/לנ183;173;21.05.2019;22.05.2019;22.05.2019
019/לנ184;174;01.05.2019;01.05.2019;01.05.2019
019/לנ185;175;21.05.2019;22.05.2019;22.05.2019
019/לנ186;176;15.05.2019;15.05.2019;15.05.2019
019/לנ187;177;20.05.2019;20.05.2019;20.05.2019
019/לנ188;178;21.05.2019;22.05.2019;21.05.2019
019/לנ189;179;21.05.2019;21.05.2019;21.05.2019
019/לנ190;180;21.05.2019;21.05.2019;21.05.2019
019/לנ191;181;21.05.2019;22.05.2019;22.05.2019
019/לנ192;182;21.05.2019;21.05.2019;21.05.2019
019/לנ193;183;21.05.2019;21.05.2019;21.05.2019
019/לנ194;184;21.05.2019;22.05.2019;21.05.2019
019/לנ195;185;21.05.2019;21.05.2019;21.05.2019
019/לנ196;186;04.03.2019;13.03.2019;13.03.2019
019/לנ197;187;20.05.2019;20.05.2019;20.05.2019
019/לנ198;188;30.04.2019;21.05.2019;21.05.2019
019/לנ199;189;19.05.2019;22.05.2019;22.05.2019
019/לנ200;190;18.05.2019;18.05.2019;18.05.2019
019/לנ201;191;21.05.2019;22.05.2019;21.05.2019
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
